YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2024,1,0,84445,BMWDTLA
2023,2,5418,79888,Carfax
2022,3,16190,73998,edmunds
2021,4,27000,43000,True car
2020,5,77000,33790,Carfax
2019,6,47000,27900,Carfax
2018,7,72000,41998,Carfax
2017,8,45000,51900,BMW Concord
2016,9,72000,40000,Auto Trader
2015,10,62000,39000,Car Guru 
2014,11,81000,12995,True car
2013,12,50000,40000,Carfax
2012,13,39995,40000,Car Guru 
2011,14,45000,34000,Carfax
2010,15,"90,000","15,000",Carfax
2009,16,"58,000","10,000",True car
