YEAR,Car_Age,MILEAGE,CAR_PRICE,Website
2024,1,0,"84,445",BMWDTLA
2023,2,"5,418","79,888",Carfax
2022,3,"16,190","73,998",edmunds
2021,4,"27,000","43,000",True car
2020,5,"77,000","33,790",Carfax
2019,6,"47,000","27,900",Carfax
2018,7,"72,000","41,998",Carfax
2017,8,"45,000","51,900",BMW Concord
2016,9,"72,000","40,000",Auto Trader
2015,10,"62,000","39,000",Car Guru 
2014,11,"81,000","12,995",True car
2013,12,"50,000","40,000",Carfax
2012,13,"39,995","40,000",Car Guru 
2011,14,"45,000","34,000",Carfax
2010,15,"90,000","15,000",Carfax
2009,16,"58,000","10,000",True car
