Date,Close/Last,Volume,Open,High,Low
09/18/2024,$227.20,78010200,$230.09,$235.68,$226.88
09/17/2024,$227.87,66761640,$229.45,$234.57,$226.55
09/16/2024,$226.78,54323000,$229.30,$229.96,$223.53
09/13/2024,$230.29,59515110,$228.00,$232.67,$226.32
09/12/2024,$229.81,72020040,$224.66,$231.45,$223.83
09/11/2024,$228.13,83548630,$224.55,$228.47,$216.80
09/10/2024,$226.17,78891140,$220.07,$226.40,$218.64
09/09/2024,$216.27,67443520,$216.20,$219.87,$213.67
09/06/2024,$210.73,112177000,$232.60,$233.60,$210.51
09/05/2024,$230.17,119355000,$223.49,$235.00,$222.25
09/04/2024,$219.41,80651770,$210.59,$222.22,$210.57
09/03/2024,$210.60,76714220,$215.26,$219.90,$209.64
08/30/2024,$214.11,63370610,$208.63,$214.57,$207.03
08/29/2024,$206.28,62308820,$209.80,$214.89,$205.97
08/28/2024,$205.75,64116350,$209.72,$211.84,$202.59
08/27/2024,$209.21,62821390,$213.25,$215.66,$206.94
08/26/2024,$213.21,59301190,$218.75,$219.09,$211.01
08/23/2024,$220.32,81525210,$214.46,$221.48,$214.21
08/22/2024,$210.66,79514480,$223.82,$224.80,$210.32
08/21/2024,$223.27,70145960,$222.67,$224.66,$218.86
08/20/2024,$221.10,74001180,$224.88,$228.22,$219.56
08/19/2024,$222.72,76435220,$217.07,$222.98,$214.09
