Date,Close/Last,Volume,Open,High,Low,Days
09/19/2024,243.92,"102,694,600.00",234.00,244.24,232.13,1257
09/18/2024,227.20,"78,010,200.00",230.09,235.68,226.88,1256
09/17/2024,227.87,"66,761,640.00",229.45,234.57,226.55,1255
09/16/2024,226.78,"54,323,000.00",229.30,229.96,223.53,1254
09/13/2024,230.29,"59,515,110.00",228.00,232.67,226.32,1253
09/12/2024,229.81,"72,020,040.00",224.66,231.45,223.83,1252
09/11/2024,228.13,"83,548,630.00",224.55,228.47,216.80,1251
09/10/2024,226.17,"78,891,140.00",220.07,226.40,218.64,1250
09/09/2024,216.27,"67,443,520.00",216.20,219.87,213.67,1249
09/06/2024,210.73,"112,177,000.00",232.60,233.60,210.51,1248
09/05/2024,230.17,"119,355,000.00",223.49,235.00,222.25,1247
09/04/2024,219.41,"80,651,770.00",210.59,222.22,210.57,1246
09/03/2024,210.60,"76,714,220.00",215.26,219.90,209.64,1245
08/30/2024,214.11,"63,370,610.00",208.63,214.57,207.03,1244
08/29/2024,206.28,"62,308,820.00",209.80,214.89,205.97,1243
08/28/2024,205.75,"64,116,350.00",209.72,211.84,202.59,1242
08/27/2024,209.21,"62,821,390.00",213.25,215.66,206.94,1241
08/26/2024,213.21,"59,301,190.00",218.75,219.09,211.01,1240
08/23/2024,220.32,"81,525,210.00",214.46,221.48,214.21,1239
08/22/2024,210.66,"79,514,480.00",223.82,224.80,210.32,1238
08/21/2024,223.27,"70,145,960.00",222.67,224.66,218.86,1237
08/20/2024,221.10,"74,001,180.00",224.88,228.22,219.56,1236
08/19/2024,222.72,"76,435,220.00",217.07,222.98,214.09,1235
08/16/2024,216.12,"88,765,120.00",211.15,219.80,210.80,1234
08/15/2024,214.14,"89,848,530.00",205.02,215.88,204.82,1233
08/14/2024,201.38,"70,250,010.00",207.39,208.44,198.75,1232
08/13/2024,207.83,"76,247,390.00",198.47,208.49,197.06,1231
08/12/2024,197.49,"64,044,900.00",199.02,199.26,194.67,1230
08/09/2024,200.00,"58,648,270.00",197.05,200.88,195.11,1229
08/08/2024,198.84,"65,033,870.00",195.70,200.70,192.04,1228
08/07/2024,191.76,"71,159,780.00",200.77,203.49,191.48,1227
08/06/2024,200.64,"73,783,940.00",200.75,202.90,192.67,1226
08/05/2024,198.88,"100,308,800.00",185.22,203.88,182.00,1225
08/02/2024,207.67,"82,880,120.00",214.88,216.13,205.78,1224
08/01/2024,216.86,"83,861,900.00",227.69,231.87,214.33,1223
07/31/2024,232.07,"67,497,010.00",227.90,234.68,226.79,1222
07/30/2024,222.62,"100,560,300.00",232.25,232.41,220.00,1221
07/29/2024,232.10,"129,201,800.00",224.90,234.27,224.70,1220
07/26/2024,219.80,"94,604,150.00",221.19,222.28,215.33,1219
07/25/2024,220.25,"100,636,500.00",216.80,226.00,216.23,1218
07/24/2024,215.99,"167,942,900.00",225.42,225.99,214.71,1217
07/23/2024,246.38,"111,928,200.00",253.60,255.76,245.63,1216
07/22/2024,251.51,"101,225,400.00",244.21,253.21,243.75,1215
07/19/2024,239.20,"87,403,900.00",247.79,249.44,236.83,1214
07/18/2024,249.23,"110,869,000.00",251.09,257.14,247.20,1213
07/17/2024,248.50,"115,584,800.00",252.73,258.47,246.18,1212
07/16/2024,256.56,"126,332,500.00",255.31,258.62,245.80,1211
07/15/2024,252.64,"146,912,900.00",255.97,265.60,251.73,1210
07/12/2024,248.23,"155,955,800.00",235.80,251.84,233.09,1209
07/11/2024,241.03,"221,707,300.00",263.30,271.00,239.65,1208
07/10/2024,263.26,"128,519,400.00",262.80,267.59,257.86,1207
07/09/2024,262.33,"160,742,500.00",251.00,265.61,250.30,1206
07/08/2024,252.94,"157,219,600.00",247.71,259.44,244.57,1205
07/05/2024,251.52,"154,501,200.00",249.81,252.37,242.46,1204
07/03/2024,246.39,"166,561,500.00",234.56,248.35,234.25,1203
07/02/2024,231.26,"205,047,900.00",218.89,231.30,218.06,1202
07/01/2024,209.86,"135,691,400.00",201.02,213.23,200.85,1201
06/28/2024,197.88,"95,438,070.00",199.55,203.20,195.26,1200
06/27/2024,197.42,"72,746,520.00",195.17,198.72,194.05,1199
06/26/2024,196.37,"95,737,070.00",186.54,197.76,186.36,1198
06/25/2024,187.35,"63,678,270.00",184.40,187.97,182.01,1197
06/24/2024,182.58,"61,992,070.00",184.97,188.80,182.55,1196
06/21/2024,183.01,"63,029,480.00",182.30,183.95,180.69,1195
06/20/2024,181.57,"55,893,140.00",184.68,185.21,179.66,1194
06/18/2024,184.86,"68,982,270.00",186.56,187.20,182.37,1193
06/17/2024,187.44,"109,786,100.00",177.92,188.81,177.00,1192
06/14/2024,178.01,"82,038,190.00",185.80,186.00,176.92,1191
06/13/2024,182.47,"118,984,100.00",188.39,191.08,181.23,1190
06/12/2024,177.29,"90,389,450.00",171.12,180.55,169.80,1189
06/11/2024,170.66,"64,761,930.00",173.92,174.75,167.41,1188
06/10/2024,173.79,"50,869,680.00",176.06,178.57,173.17,1187
06/07/2024,177.48,"56,244,930.00",176.13,179.35,175.58,1186
06/06/2024,177.94,"69,887,020.00",174.60,179.73,172.73,1185
06/05/2024,175.00,"57,953,760.00",175.35,176.15,172.13,1184
06/04/2024,174.77,"60,056,340.00",174.78,177.76,174.00,1183
06/03/2024,176.29,"68,568,920.00",178.13,182.64,174.49,1182
05/31/2024,178.08,"67,314,600.00",178.50,180.32,173.82,1181
05/30/2024,178.79,"77,784,760.00",178.58,182.67,175.38,1180
05/29/2024,176.19,"54,782,650.00",174.19,178.15,173.93,1179
05/28/2024,176.75,"59,736,620.00",176.40,178.25,173.16,1178
05/24/2024,179.24,"65,584,480.00",174.84,180.08,173.73,1177
05/23/2024,173.74,"71,975,500.00",181.80,181.90,173.26,1176
05/22/2024,180.11,"88,313,480.00",182.85,183.80,178.12,1175
05/21/2024,186.60,"115,266,500.00",175.51,186.88,174.71,1174
05/20/2024,174.95,"61,727,430.00",177.56,177.75,173.52,1173
05/17/2024,177.46,"77,445,850.00",173.55,179.63,172.75,1172
05/16/2024,174.84,"59,812,220.00",174.10,175.79,171.43,1171
05/15/2024,173.99,"79,662,990.00",179.90,180.00,173.11,1170
05/14/2024,177.55,"86,407,420.00",174.50,179.49,174.07,1169
05/13/2024,171.89,"67,018,900.00",170.00,175.40,169.00,1168
05/10/2024,168.47,"72,627,180.00",173.05,173.06,167.75,1167
05/09/2024,171.97,"65,950,290.00",175.01,175.62,171.37,1166
05/08/2024,174.72,"79,969,490.00",171.59,176.06,170.15,1165
05/07/2024,177.81,"75,045,850.00",182.40,183.26,177.40,1164
05/06/2024,184.76,"84,390,250.00",183.80,187.56,182.20,1163
05/03/2024,181.19,"75,491,540.00",182.10,184.78,178.42,1162
05/02/2024,180.01,"89,148,040.00",182.86,184.60,176.02,1161
05/01/2024,179.99,"92,829,720.00",182.00,185.86,179.01,1160
04/30/2024,183.28,"127,031,800.00",186.98,190.95,182.84,1159
04/29/2024,194.05,"243,869,700.00",188.42,198.87,184.54,1158
04/26/2024,168.29,"109,815,700.00",168.85,172.12,166.37,1157
04/25/2024,170.18,"126,427,500.00",158.96,170.88,158.36,1156
04/24/2024,162.13,"181,178,000.00",162.84,167.97,157.51,1155
04/23/2024,144.68,"124,545,100.00",143.33,147.26,141.11,1154
04/22/2024,142.05,"107,097,600.00",140.56,144.44,138.80,1153
04/19/2024,147.05,"87,074,500.00",148.97,150.94,146.22,1152
04/18/2024,149.93,"96,098,830.00",151.25,152.20,148.70,1151
04/17/2024,155.45,"82,439,720.00",157.64,158.33,153.78,1150
04/16/2024,157.11,"96,999,960.00",156.74,158.19,153.75,1149
04/15/2024,161.48,"100,245,300.00",170.24,170.69,161.38,1148
04/12/2024,171.05,"64,722,670.00",172.34,173.81,170.36,1147
04/11/2024,174.60,"94,515,990.00",172.55,175.88,168.51,1146
04/10/2024,171.76,"84,532,410.00",173.04,174.93,170.01,1145
04/09/2024,176.88,"103,232,700.00",172.91,179.22,171.92,1144
04/08/2024,172.98,"104,423,300.00",169.34,174.50,167.79,1143
04/05/2024,164.90,"143,157,600.00",169.08,170.86,160.51,1142
04/04/2024,171.11,"123,162,000.00",170.07,177.19,168.01,1141
04/03/2024,168.38,"82,950,140.00",164.02,168.82,163.28,1140
04/02/2024,166.63,"116,650,600.00",164.75,167.69,163.43,1139
04/01/2024,175.22,"81,562,130.00",176.17,176.75,170.21,1138
03/28/2024,175.79,"77,654,840.00",177.45,179.57,175.30,1137
03/27/2024,179.83,"81,804,040.00",181.41,181.91,176.00,1136
03/26/2024,177.67,"113,186,200.00",178.58,184.25,177.38,1135
03/25/2024,172.63,"74,228,620.00",168.76,175.24,168.73,1134
03/22/2024,170.83,"75,580,640.00",166.69,171.20,166.30,1133
03/21/2024,172.82,"73,178,010.00",176.39,178.18,171.80,1132
03/20/2024,175.66,"83,846,730.00",173.00,176.25,170.82,1131
03/19/2024,171.32,"77,271,430.00",172.36,172.82,167.42,1130
03/18/2024,173.80,"108,214,400.00",170.02,174.72,165.90,1129
03/15/2024,163.57,"97,146,830.00",163.16,165.18,160.76,1128
03/14/2024,162.50,"126,325,700.00",167.77,171.17,160.51,1127
03/13/2024,169.48,"106,524,500.00",173.05,176.05,169.15,1126
03/12/2024,177.54,"87,391,680.00",177.77,179.43,172.41,1125
03/11/2024,177.77,"85,391,530.00",175.45,182.87,174.80,1124
03/08/2024,175.34,"85,544,640.00",181.50,182.73,174.70,1123
03/07/2024,178.65,"102,129,000.00",174.35,180.04,173.70,1122
03/06/2024,176.54,"107,920,900.00",179.99,181.58,173.70,1121
03/05/2024,180.74,"119,660,800.00",183.05,184.59,177.57,1120
03/04/2024,188.14,"134,334,900.00",198.73,199.75,186.72,1119
03/01/2024,202.64,"82,243,120.00",200.52,204.52,198.50,1118
02/29/2024,201.88,"85,906,970.00",204.18,205.28,198.45,1117
02/28/2024,202.04,"99,806,170.00",200.42,205.30,198.44,1116
02/27/2024,199.73,"108,645,400.00",204.04,205.60,198.26,1115
02/26/2024,199.40,"111,747,100.00",192.29,201.78,192.00,1114
02/23/2024,191.97,"78,841,920.00",195.31,197.57,191.50,1113
02/22/2024,197.41,"92,739,460.00",194.00,198.32,191.36,1112
02/21/2024,194.77,"103,844,000.00",193.36,199.44,191.95,1111
02/20/2024,193.76,"104,545,800.00",196.13,198.60,189.13,1110
02/16/2024,199.95,"111,346,700.00",202.06,203.17,197.40,1109
02/15/2024,200.45,"120,831,800.00",189.16,200.88,188.86,1108
02/14/2024,188.71,"81,202,990.00",185.30,188.89,183.35,1107
02/13/2024,184.02,"86,759,480.00",183.99,187.26,182.11,1106
02/12/2024,188.13,"95,498,600.00",192.11,194.73,187.28,1105
02/09/2024,193.57,"84,476,350.00",190.18,194.12,189.48,1104
02/08/2024,189.56,"83,034,040.00",189.00,191.62,185.58,1103
02/07/2024,187.58,"111,535,200.00",188.18,189.79,182.68,1102
02/06/2024,185.10,"122,676,000.00",177.21,186.49,177.11,1101
02/05/2024,181.06,"134,294,400.00",184.26,184.68,175.01,1100
02/02/2024,187.91,"110,612,700.00",185.04,188.69,182.00,1099
02/01/2024,188.86,"91,843,280.00",188.50,189.88,184.28,1098
01/31/2024,187.29,"103,221,400.00",187.00,193.97,185.85,1097
01/30/2024,191.59,"109,982,300.00",195.33,196.36,190.61,1096
01/29/2024,190.93,"125,013,100.00",185.63,191.48,183.67,1095
01/26/2024,183.25,"107,343,200.00",185.50,186.78,182.10,1094
01/25/2024,182.63,"198,076,800.00",189.70,193.00,180.06,1093
01/24/2024,207.83,"123,369,900.00",211.88,212.73,206.77,1092
01/23/2024,209.14,"106,605,900.00",211.30,215.65,207.75,1091
01/22/2024,208.80,"117,952,500.00",212.26,217.80,206.27,1090
01/19/2024,212.19,"102,260,300.00",209.99,213.19,207.56,1089
01/18/2024,211.88,"108,595,400.00",216.88,217.45,208.74,1088
01/17/2024,215.55,"103,164,400.00",214.86,215.67,212.01,1087
01/16/2024,219.91,"115,355,000.00",215.10,223.49,212.18,1086
01/12/2024,218.89,"123,043,800.00",220.08,225.34,217.15,1085
01/11/2024,227.22,"105,873,600.00",230.57,230.93,225.37,1084
01/10/2024,233.94,"91,628,500.00",235.10,235.50,231.29,1083
01/09/2024,234.96,"96,705,660.00",238.11,238.96,232.04,1082
01/08/2024,240.45,"85,166,580.00",236.14,241.25,235.30,1081
01/05/2024,237.49,"92,488,940.00",236.86,240.12,234.90,1080
01/04/2024,237.93,"102,629,300.00",239.25,242.70,237.73,1079
01/03/2024,238.45,"121,082,600.00",244.98,245.68,236.32,1078
01/02/2024,248.42,"104,654,200.00",250.08,251.25,244.41,1077
12/29/2023,248.48,"100,891,600.00",255.10,255.19,247.43,1076
12/28/2023,253.18,"113,619,900.00",263.66,265.13,252.71,1075
12/27/2023,261.44,"106,494,400.00",258.35,263.34,257.52,1074
12/26/2023,256.61,"86,892,380.00",254.49,257.97,252.91,1073
12/22/2023,252.54,"93,370,090.00",256.76,258.22,251.37,1072
12/21/2023,254.50,"109,594,200.00",251.90,254.80,248.55,1071
12/20/2023,247.14,"125,097,000.00",256.41,259.84,247.00,1070
12/19/2023,257.22,"106,737,400.00",253.48,258.34,253.01,1069
12/18/2023,252.08,"116,416,500.00",253.78,258.74,251.36,1068
12/15/2023,253.50,"135,932,800.00",251.21,254.13,248.30,1067
12/14/2023,251.05,"160,829,200.00",241.22,253.88,240.79,1066
12/13/2023,239.29,"146,286,300.00",234.19,240.30,228.20,1065
12/12/2023,237.01,"95,328,310.00",238.55,238.99,233.87,1064
12/11/2023,239.74,"97,913,890.00",242.74,243.44,237.45,1063
12/08/2023,243.84,"103,126,800.00",240.27,245.27,239.27,1062
12/07/2023,242.64,"107,142,300.00",241.55,244.08,236.98,1061
12/06/2023,239.37,"126,436,200.00",242.92,246.57,239.17,1060
12/05/2023,238.72,"137,971,100.00",233.87,246.66,233.70,1059
12/04/2023,235.58,"104,099,800.00",235.75,239.37,233.29,1058
12/01/2023,238.83,"121,331,700.00",233.14,240.19,231.90,1057
11/30/2023,240.08,"132,353,200.00",245.14,245.22,236.91,1056
11/29/2023,244.14,"135,401,300.00",249.21,252.75,242.76,1055
11/28/2023,246.72,"148,549,900.00",236.68,247.00,234.01,1054
11/27/2023,236.08,"112,031,800.00",236.89,238.33,232.10,1053
11/24/2023,235.45,"65,125,200.00",233.75,238.75,232.33,1052
11/22/2023,234.21,"118,117,100.00",242.04,244.01,231.40,1051
11/21/2023,241.20,"122,288,000.00",235.04,243.62,233.34,1050
11/20/2023,235.60,"116,562,400.00",234.04,237.10,231.02,1049
11/17/2023,234.30,"142,766,200.00",232.00,237.39,226.54,1048
11/16/2023,233.59,"136,816,800.00",239.49,240.88,230.96,1047
11/15/2023,242.84,"150,354,000.00",239.29,246.70,236.45,1046
11/14/2023,237.41,"149,771,600.00",235.03,238.14,230.72,1045
11/13/2023,223.71,"140,447,600.00",215.60,225.40,211.61,1044
11/10/2023,214.65,"131,310,100.00",210.03,215.38,205.69,1043
11/09/2023,209.98,"142,110,500.00",219.75,220.80,206.68,1042
11/08/2023,222.11,"106,584,800.00",223.15,224.15,217.64,1041
11/07/2023,222.18,"116,900,100.00",219.98,223.12,215.72,1040
11/06/2023,219.27,"117,335,800.00",223.98,226.32,215.00,1039
11/03/2023,219.96,"119,534,800.00",221.15,226.37,218.40,1038
11/02/2023,218.51,"125,987,600.00",212.97,219.20,211.45,1037
11/01/2023,205.66,"121,661,700.00",204.04,205.99,197.85,1036
10/31/2023,200.84,"118,068,300.00",196.12,202.80,194.07,1035
10/30/2023,197.36,"136,448,200.00",209.28,210.88,194.67,1034
