Date,Day of the Week,Amount,Description,Category ,Credit,Need/Want/Saving
8/23/2024,Friday,15,Netflix,Entertainment and Recreation,Debit,Want
8/23/2023,Friday,40,Haircut,Entertainment and Recreation,Debit,Want
8/24/2024,Saturday,150,Amazon,Entertainment and Recreation,Debit,Want
8/20/24,Tuesday,20,Playstation Plus,Entertainment and Recreation,Debit,Want
8/20/2024,Tuesday,6,Apple Music,Entertainment and Recreation,Debit,Want
8/23/2024,Friday,30,Wingstop,Food,Debit,Want
8/28/2024,Wednesday,9,School Lunch,Food,Debit,Need
8/28/2024,Wednesday,7,Philz,Food,Debit,Need
8/29/2024,Thursday,5,Fitness 19,Entertainment and Recreation,Debit,Want
8/28/2024,Wednesday,15,Jack in the box ,Food,Cash,Want
8/29/2024,Thursday,10,Jack in the box,Food,Cash,Want
8/30/2024,Saturday,5,Ice,Food,Debit,Want
9/1/2024,Sunday,10,In-n-out,Food,Debit,Want
9/1/2024,Sunday,20,Bite-Me-San,Food,Debit,Want
9/2/2024,Monday,30,Wingstop,Food,Debit,Want
